key,indicator,indicator_category
1,Population (female) age 6 years and above who ever attended school (%),Population and Household Profile 
2,Population below age 15 years (%),Population and Household Profile 
3,"Sex ratio of the total population (females per 1,000 males)",Population and Household Profile 
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Population and Household Profile 
5,Children under age 5 years whose birth was registered (%),Population and Household Profile 
6,Households with electricity (%),Population and Household Profile 
7,Households with an improved drinking-water source,Population and Household Profile 
8,Households using improved sanitation facility,Population and Household Profile 
9,Households using clean fuel for cooking,Population and Household Profile 
10,Households using iodized salt (%),Population and Household Profile 
11,Households with any usual member covered by a health scheme or health insurance (%),Population and Household Profile 
12,Women who are literate (%),Characteristics of Adults (age 15-49) 
13,Men who are literate (%),Characteristics of Adults (age 15-49) 
14,Women with 10 or more years of schooling (%),Characteristics of Adults (age 15-49) 
15,Women age 20-24 years married before age 18 years (%),Marriage and Fertility
16,Men age 25-29 years married before age 21 years (%),Marriage and Fertility
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Marriage and Fertility
18,Any method,Family Planning Methods (currently married women age 15-49 years)
19,Any modern method,Family Planning Methods (currently married women age 15-49 years)
20,Female sterilization (%),Family Planning Methods (currently married women age 15-49 years)
21,Male sterilization (%),Family Planning Methods (currently married women age 15-49 years)
22,IUD/PPIUD (%),Family Planning Methods (currently married women age 15-49 years)
23,Pill (%),Family Planning Methods (currently married women age 15-49 years)
24,Condom (%),Family Planning Methods (currently married women age 15-49 years)
25,NeeTotal unmet need (%),Unmet Need for Family Planning (currently married women age 15Ð49 years)
26,Unmet need for spacing (%),Unmet Need for Family Planning (currently married women age 15Ð49 years)
27,Health worker ever talked to female non-users about family planning (%),Quality of Family Planning Services
28,Current users ever told about side effects of current method,Quality of Family Planning Services
29,Mothers who had antenatal check-up in the first trimester (%),Maternity Care (for last birth in the 5 years before the survey)
30,Mothers who had at least 4 antenatal care visits (%),Maternity Care (for last birth in the 5 years before the survey)
31,Mothers whose last birth was protected against neonatal tetanus,Maternity Care (for last birth in the 5 years before the survey)
32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Maternity Care (for last birth in the 5 years before the survey)
33,Mothers who had full antenatal care,Maternity Care (for last birth in the 5 years before the survey)
34,Registered pregnancies for which the mother received Mother and Child Protection (MCP) card (%),Maternity Care (for last birth in the 5 years before the survey)
35,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Maternity Care (for last birth in the 5 years before the survey)
36,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),Maternity Care (for last birth in the 5 years before the survey)
37,Average out of pocket expenditure per delivery in public health facility (Rs.),Maternity Care (for last birth in the 5 years before the survey)
38,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),Maternity Care (for last birth in the 5 years before the survey)
39,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other,Maternity Care (for last birth in the 5 years before the survey)
40,Institutional births (%),Delivery Care (for births in the 5 years before the survey)
41,Institutional births in public facility (%),Delivery Care (for births in the 5 years before the survey)
42,Home delivery conducted by skilled health personnel (out of total deliveries) (%),Delivery Care (for births in the 5 years before the survey)
43,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),Delivery Care (for births in the 5 years before the survey)
44,Births delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey)
45,Births in a private health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey)
46,Births in a public health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey)
47,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",Child Immunizations and Vitamin A Supplementation
48,Children age 12-23 months who have received BCG (%),Child Immunizations and Vitamin A Supplementation
49,Children age 12-23 months who have received 3 doses of polio vaccine (%),Child Immunizations and Vitamin A Supplementation
50,Children age 12-23 months who have received 3 doses of DPT vaccine (%),Child Immunizations and Vitamin A Supplementation
51,Children age 12-23 months who have received measles vaccine (%),Child Immunizations and Vitamin A Supplementation
52,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),Child Immunizations and Vitamin A Supplementation
53,Children age 9-59 months who received a vitamin A dose in last 6 months (%),Child Immunizations and Vitamin A Supplementation
54,Children age 12-23 months who received most of the vaccinations in public health facility (%),Child Immunizations and Vitamin A Supplementation
55,Children age 12-23 months who received most of the vaccinations in private health facility (%),Child Immunizations and Vitamin A Supplementation
56,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years)
57,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS),Treatment of Childhood Diseases (children under age 5 years)
58,Children with diarrhoea in the last 2 weeks who received zinc (%),Treatment of Childhood Diseases (children under age 5 years)
59,Children with diarrhoea in the last 2 weeks taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years)
60,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years)
61,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years)
62,Children under age 3 years breastfed within one hour of birth,Child Feeding Practices and Nutritional Status of Children
