state,indicator_id,indicator,indicator_category,urban,rural,total,total_2005-06
Andaman and Nicobar Islands,1,Population (female) age 6 years and above who ever attended school (%),Population and Household Profile ,87.6,82.6,84.7,
Andaman and Nicobar Islands,2,Population below age 15 years (%),Population and Household Profile ,23.4,24.3,23.9,
Andaman and Nicobar Islands,3,"Sex ratio of the total population (females per 1,000 males)",Population and Household Profile ,966,984,977,
Andaman and Nicobar Islands,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Population and Household Profile ,708,978,859,
Andaman and Nicobar Islands,5,Children under age 5 years whose birth was registered (%),Population and Household Profile ,97.2,98.4,97.9,
Andaman and Nicobar Islands,6,Households with electricity (%),Population and Household Profile ,99.7,95,97,
Andaman and Nicobar Islands,7,Households with an improved drinking-water source1 (%),Population and Household Profile ,100,89.9,94.3,
Andaman and Nicobar Islands,8,Households using improved sanitation facility (%),Population and Household Profile ,87.4,64.4,74.3,
Andaman and Nicobar Islands,9,Households using clean fuel for cooking (%),Population and Household Profile ,85,47.2,63.5,
Andaman and Nicobar Islands,10,Households using iodized salt (%),Population and Household Profile ,99,99.5,99.3,
Andaman and Nicobar Islands,11,Households with any usual member covered by a health scheme or health insurance (%),Population and Household Profile ,7.7,4.1,5.7,
Andaman and Nicobar Islands,12,Women who are literate (%),Characteristics of Adults (age 15-49) ,89,80.2,84.1,
Andaman and Nicobar Islands,13,Men who are literate (%),Characteristics of Adults (age 15-49) ,96.1,83.3,88.5,
Andaman and Nicobar Islands,14,Women with 10 or more years of schooling (%),Characteristics of Adults (age 15-49) ,57.3,42.6,49.1,
Andaman and Nicobar Islands,15,Women age 20-24 years married before age 18 years (%),Marriage and Fertility,11.9,20.4,17.1,
Andaman and Nicobar Islands,16,Men age 25-29 years married before age 21 years (%),Marriage and Fertility,,-30.7,14.9,
Andaman and Nicobar Islands,17,Total fertility rate (children per woman),Marriage and Fertility,1.4,1.5,1.5,
Andaman and Nicobar Islands,18,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Marriage and Fertility,3.1,5.8,4.7,
Andaman and Nicobar Islands,19,Infant mortality rate (IMR),"Infant and Child Mortality Rates (per 1,000 live births)",,16,10,
Andaman and Nicobar Islands,20,Under-five mortality rate (U5MR),"Infant and Child Mortality Rates (per 1,000 live births)",,22,13,
Andaman and Nicobar Islands,21,Any method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),42.7,56.8,50.8,
Andaman and Nicobar Islands,22,Any modern method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),41.1,53.7,48.3,
Andaman and Nicobar Islands,24,Male sterilization (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0,0,0,
Andaman and Nicobar Islands,25,IUD/PPIUD (%),Current Use of Family Planning Methods (currently married women age 15-49 years),1.5,2.6,2.1,
Andaman and Nicobar Islands,26,Pill (%),Current Use of Family Planning Methods (currently married women age 15-49 years),1.7,2.5,2.2,
Andaman and Nicobar Islands,27,Condom (%),Current Use of Family Planning Methods (currently married women age 15-49 years),2.7,5.3,4.2,
Andaman and Nicobar Islands,28,Total unmet need (%),Unmet Need for Family Planning (currently married women age 15-49 years),18.7,13,15.5,
Andaman and Nicobar Islands,29,Unmet need for spacing (%),Unmet Need for Family Planning (currently married women age 15-49 years),10.4,6.4,8.1,
Andaman and Nicobar Islands,30,Health worker ever talked to female non-users about family planning (%),Quality of Family Planning Services,38.7,35.7,37.2,
Andaman and Nicobar Islands,31,Current users ever told about side effects of current method (%),Quality of Family Planning Services,,58.2,65,
Andaman and Nicobar Islands,32,Mothers who had antenatal check-up in the first trimester (%),Maternity Care (for last birth in the 5 years before the survey),57.6,75.5,68.4,
Andaman and Nicobar Islands,33,Mothers who had at least 4 antenatal care visits (%),Maternity Care (for last birth in the 5 years before the survey),95.9,89.5,92.1,
Andaman and Nicobar Islands,34,Mothers whose last birth was protected against neonatal tetanus (%),Maternity Care (for last birth in the 5 years before the survey),90.8,92.6,91.8,
Andaman and Nicobar Islands,35,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Maternity Care (for last birth in the 5 years before the survey),70.5,50.4,58.4,
Andaman and Nicobar Islands,36,Mothers who had full antenatal care (%),Maternity Care (for last birth in the 5 years before the survey),67.3,44.5,53.6,
Andaman and Nicobar Islands,37,Registered pregnancies for which the mother received Mother and Child Protection (MCP) card (%),Maternity Care (for last birth in the 5 years before the survey),98.8,96.9,97.7,
Andaman and Nicobar Islands,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Maternity Care (for last birth in the 5 years before the survey),80.8,71.2,75,
Andaman and Nicobar Islands,39,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),Maternity Care (for last birth in the 5 years before the survey),2.9,0.3,1.4,
Andaman and Nicobar Islands,40,Average out of pocket expenditure per delivery in public health facility (Rs.),Maternity Care (for last birth in the 5 years before the survey),788,1562,1258,
Andaman and Nicobar Islands,41,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),Maternity Care (for last birth in the 5 years before the survey),,*,*,
Andaman and Nicobar Islands,42,Children who received a health check after birth from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of birth (%),Maternity Care (for last birth in the 5 years before the survey),23.2,23,23.1,
Andaman and Nicobar Islands,43,Institutional births (%),Delivery Care (for births in the 5 years before the survey),98.3,95.4,96.6,
Andaman and Nicobar Islands,44,Institutional births in public facility (%),Delivery Care (for births in the 5 years before the survey),91.6,92.7,92.3,
Andaman and Nicobar Islands,45,Home delivery conducted by skilled health personnel (out of total deliveries) (%),Delivery Care (for births in the 5 years before the survey),0.9,1.1,1,
